"scientificName","catalogNumber","institutionCode","year","month","day","decimalLongitude","decimalLatitude"
"Podocarpus nubigenus Lindl.","K000552684","K",2004,1,6,-73.316667,-39.7
"Podocarpus nubigenus Lindl.","E00638987","RBGE",2013,1,23,-73.387778,-40.029444
"Podocarpus nubigenus Lindl.","20130265","E",2013,1,23,-73.387833,-40.029472
"Podocarpus nubigenus Lindl.","20130264","E",2013,1,23,-73.390667,-40.031681
"Podocarpus nubigenus Lindl.","20130266","E",2013,1,23,-73.387833,-40.029472
"Podocarpus nubigenus Lindl.","E00166139","RBGE",2002,9,21,-73.351389,-39.737778
"Podocarpus nubigenus Lindl.","E00182344","RBGE",2004,1,6,-73.309444,-39.695
"Podocarpus nubigenus Lindl.","20090083","E",2008,12,29,-73.3,-39.683333
"Podocarpus nubigenus Lindl.","20120433","E",2012,4,4,-73.309389,-39.694972
"Podocarpus nubigenus Lindl.","E00166137","RBGE",2002,9,21,-73.316111,-39.7
"Podocarpus nubigenus Lindl.","20090086","E",2008,12,30,-73.332,-39.768806
"Podocarpus nubigenus Lindl.","20071143","E",2004,1,6,-73.309389,-39.694972
"Podocarpus nubigenus Lindl.","20090085","E",2008,12,29,-73.3,-39.683333
"Podocarpus nubigenus Lindl.","20090084","E",2008,12,29,-73.309389,-39.694972
"Podocarpus nubigenus Lindl.","263545574","iNaturalist",2025,2,24,-73.547569,-47.801125
"Podocarpus nubigenus Lindl.","266104696","iNaturalist",2025,3,16,-72.017848,-40.399313
"Podocarpus nubigenus Lindl.","270727575","iNaturalist",2025,4,14,-73.020867,-47.52143
"Podocarpus nubigenus Lindl.","267754867","iNaturalist",2025,3,30,-73.548103,-47.800695
"Podocarpus nubigenus Lindl.","260186538","iNaturalist",2025,1,31,-72.819524,-44.285863
"Podocarpus nubigenus Lindl.","260187082","iNaturalist",2025,1,31,-72.819983,-44.286183
"Podocarpus nubigenus Lindl.","271106098","iNaturalist",2025,4,14,-72.989166,-47.511911
"Podocarpus nubigenus Lindl.","263790724","iNaturalist",2025,2,2,-72.429132,-44.603027
"Podocarpus nubigenus Lindl.","269357136","iNaturalist",2025,4,8,-73.532931,-47.796242
"Podocarpus nubigenus Lindl.","270754018","iNaturalist",2025,4,15,-73.959838,-42.753113
"Podocarpus nubigenus Lindl.","267341122","iNaturalist",2025,2,27,-74.1016,-42.618328
"Podocarpus nubigenus Lindl.","266026089","iNaturalist",2025,3,19,-73.374175,-41.746222
"Podocarpus nubigenus Lindl.","265221778","iNaturalist",2025,3,13,-73.788431,-43.016909
